COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
1103036,6-hydroxyindole sulfate,Xenobiotics,Chemical,NEGa,HMDB0000682,,10258.0,487-94-5,,9840.0
1103043,dibutyl sulfosuccinate,Xenobiotics,Chemical,NEGa,,,,,,
1103049,EDTA,Xenobiotics,Chemical,NEGa,HMDB0015109,,6049.0,62-33-9,C00284,5826.0
1103051,ethylparaben sulfate,Xenobiotics,Chemical,NEGa,,,,,,
1103069,perfluorooctanoate (PFOA)*,Xenobiotics,Chemical,NEGa,HMDB0256329,,,,,
1103076,sulfate*,Xenobiotics,Chemical,NEGa,,,,,,
111007,3-methylhistidine,Amino Acid,Histidine Metabolism,NEGa,HMDB0000479,,64969.0,368-16-1,C01152,58494.0
111014,histidine,Amino Acid,Histidine Metabolism,NEGa,HMDB0000177,,6274.0,71-00-1,C00135,6038.0
111021,N-acetyl-3-methylhistidine*,Amino Acid,Histidine Metabolism,NEGa,HMDB0240341,,193270.0,37841-04-6,,167717.0
111022,N-acetylcarnosine,Amino Acid,Histidine Metabolism,NEGa,HMDB0012881,,10221026.0,56353-15-2,,8396518.0
111024,N-acetylhistidine,Amino Acid,Histidine Metabolism,NEGa,HMDB0032055,,75619.0,2497-02-1,C02997,68142.0
111026,1-methyl-5-imidazolelactate,Amino Acid,Histidine Metabolism,NEGa,,,,,,
1115001,"2,6-dihydroxybenzoic acid",Xenobiotics,Drug - Topical Agents,NEGa,HMDB0013676,,9338.0,303-07-1,,8974.0
1116002,"(2,4 or 2,5)-dimethylphenol sulfate",Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116022,"3,4-methyleneheptanoate",Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116033,3-indoleglyoxylic acid,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116036,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116041,4-vinylguaiacol sulfate,Xenobiotics,Food Component/Plant,NEGa,,HMDB0013744(4-vinylguaiacol),,,,
1116043,acesulfame,Xenobiotics,Food Component/Plant,NEGa,HMDB0033585,,36573.0,33665-90-6,,33607.0
1116058,cinnamoylglycine,Xenobiotics,Food Component/Plant,NEGa,HMDB0011621,,709625.0,16534-24-0,,618829.0
1116065,daidzein sulfate (2),Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116071,dihydroferulate,Xenobiotics,Food Component/Plant,NEGa,HMDB0062121,,14340.0,1135-23-5,,
1116072,dihydroferulic acid sulfate,Xenobiotics,Food Component/Plant,NEGa,HMDB0041724,,187489.0,86321-33-7,,162994.0
1116081,equol sulfate,Xenobiotics,Food Component/Plant,NEGa,HMDB0240515,,29979373.0,,,
1116087,ethyl maltol sulfate,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116088,eugenol sulfate,Xenobiotics,Food Component/Plant,NEGa,,HMDB0005809(eugenol),180632.0,,,
1116090,ferulic acid 4-sulfate,Xenobiotics,Food Component/Plant,NEGa,HMDB0029200,,6305574.0,151481-53-7,,4878542.0
1116093,ferulylglycine (1),Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116102,genistein sulfate*,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116105,glucuronide of piperine metabolite C17H21NO3 (4)*,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116124,levulinate (4-oxovalerate),Xenobiotics,Food Component/Plant,NEGa,HMDB0000720,,11579.0,123-76-2,,11091.0
1116129,maltol sulfate,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116131,methyl glucopyranoside (alpha + beta),Xenobiotics,Food Component/Plant,NEGa,HMDB0029965,,445238.0,709-50-2,,
1116133,methyl vanillate sulfate,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116136,N-acetylalliin,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116138,N-acetyl-S-allyl-L-cysteine,Xenobiotics,Food Component/Plant,NEGa,HMDB0240543,,152467.0,,,134378.0
1116139,N-acetyltheanine,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116158,pyrraline,Xenobiotics,Food Component/Plant,NEGa,HMDB0033143,,14274616.0,74509-14-1,,19980286.0
1116165,saccharin,Xenobiotics,Food Component/Plant,NEGa,HMDB0029723,,5143.0,81-07-2,C12283,4959.0
1116182,sulfate of piperine metabolite C16H19NO3 (2)*,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116183,sulfate of piperine metabolite C16H19NO3 (3)*,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116187,sulfate of piperine metabolite C18H21NO3 (1)*,Xenobiotics,Food Component/Plant,NEGa,,,,,,
1116189,sulfate of piperine metabolite C18H21NO3 (3)*,Xenobiotics,Food Component/Plant,NEGa,HMDB0001448,,,,C00059,
1116197,thymol sulfate,Xenobiotics,Food Component/Plant,NEGa,HMDB0062720,,12456386.0,,,
1116200,umbelliferone sulfate,Xenobiotics,Food Component/Plant,NEGa,HMDB0240565,,17757236.0,,,
1116204,vanillic acid glycine,Xenobiotics,Food Component/Plant,NEGa,HMDB0060026,,3083688.0,,,2340857.0
1117001,2-hydroxyfluorene sulfate,Xenobiotics,Tobacco Metabolite,NEGa,,,,,,
1118001,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,NEGa,HMDB0002123,,79437.0,5415-44-1,C16361,71754.0
1118002,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism,NEGa,HMDB0001857,,70346.0,944-73-0,,63527.0
1118003,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,NEGa,HMDB0011103,,91611.0,33868-03-0,C16356,82720.0
1118004,1-methylurate,Xenobiotics,Xanthine Metabolism,NEGa,HMDB0003099,,69726.0,708-79-2,C16359,62926.0
1118005,1-methylxanthine,Xenobiotics,Xanthine Metabolism,NEGa,HMDB0010738,,80220.0,6136-37-4,C16358,72464.0
1118006,"3,7-dimethylurate",Xenobiotics,Xanthine Metabolism,NEGa,HMDB0001982,,83126.0,13087-49-5,C16360,74994.0
1118008,3-methylxanthine,Xenobiotics,Xanthine Metabolism,NEGa,HMDB0001886,,70639.0,1076-22-8,C16357,63805.0
1118017,theophylline,Xenobiotics,Xanthine Metabolism,NEGa,HMDB0001889,,2153.0,58-55-9,C07130,2068.0
112001,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,,,,,,
112002,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,,,,,,
112003,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,,,,,,
112007,2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000317,,10796774.0,488-15-3,,8972081.0
112008,2-ketocaprylate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0013211,,,,,
112011,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000396,,188979.0,4374-62-3,,164207.0
112013,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000019,,49.0,759-05-7,C00141,48.0
112014,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000491,,439286.0,24809-08-3,C00671,388419.0
112018,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000695,,70.0,816-66-0,C00233,69.0
112021,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000665,"HMDB0000665,HMDB0000746(Hydroxyisocaproic acid),HMDB0000624(D-Leucic acid)",92779.0,498-36-2,,83753.0
112023,beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000754,,69362.0,625-08-1,,62571.0
112028,isobutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000730,,10855600.0,15926-18-8,,9030891.0
112030,isovalerate (i5:0),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000718,,10430.0,503-74-2,C08262,10001.0
112033,isovalerylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0000678,,,,,
112037,N-acetylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0061684,,7036275.0,3077-46-1,,
112038,N-acetylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0011756,,70912.0,1188-21-2,C02710,64075.0
112039,N-acetylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",NEGa,HMDB0011757,,66789.0,96-81-1,,60154.0
113006,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,NEGa,HMDB0061705,,3014237.0,,,
113021,N6-acetyllysine,Amino Acid,Lysine Metabolism,NEGa,HMDB0000206,,92832.0,692-04-6,C02727,83801.0
114001,"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0240388,,154603736.0,2226539-09-7,,
114019,N-acetylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0011745,,448580.0,65-82-7,C02712,395338.0
114021,N-acetyltaurine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0240253,,159864.0,19213-70-8,,140553.0
114022,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0001015,,439750.0,4289-98-9,C03145,388809.0
114025,S-adenosylhomocysteine (SAH),Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0000939,,,,C00021,
114028,S-methylcysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",NEGa,HMDB0002108,,24417.0,1187-84-4,,79551.0
115001,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,NEGa,,,,,,
115002,2-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000669,,11970.0,614-75-5,C05852,11476.0
115004,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000020,,127.0,156-38-7,C00642,124.0
115006,N-acetylphenylalanine,Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000512,,74839.0,2018-61-3,C03519,67404.0
115010,phenylacetate,Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000209,,999.0,103-82-2,C07086,10181341.0
115012,phenyllactate (PLA),Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000779,,3848.0,828-01-3,C01479,3715.0
115013,phenylpyruvate,Amino Acid,Phenylalanine Metabolism,NEGa,HMDB0000205,,997.0,156-06-9,C00166,972.0
116005,acisoga,Amino Acid,Polyamine Metabolism,NEGa,HMDB0061384,,129397.0,106692-36-8,,
117004,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,NEGa,HMDB0000682,,,,,
117009,6-bromotryptophan,Amino Acid,Tryptophan Metabolism,NEGa,,,,,,
117011,8-methoxykynurenate,Amino Acid,Tryptophan Metabolism,NEGa,HMDB0060426,,76230.0,,C05830,
117013,C-glycosyltryptophan,Amino Acid,Tryptophan Metabolism,NEGa,HMDB0240296,,10981970.0,180509-18-6,,9157171.0
117014,indole-3-carboxylate,Amino Acid,Tryptophan Metabolism,NEGa,HMDB0003320,,69867.0,771-50-6,C19837,63063.0
