COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
109005,betaine aldehyde,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0001252,,249.0,7418-61-3,C00576,244.0
109006,dimethylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000092,,673.0,1118-68-9,C01026,653.0
109007,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000123,,750.0,56-40-6,C00037,730.0
109009,N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000532,,10972.0,543-24-8,,10507.0
109014,sarcosine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000271,,1088.0,107-97-1,C00213,1057.0
109015,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000187,,5951.0,56-45-1,C00065,5736.0
109016,threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",POSa,HMDB0000167,,6288.0,72-19-5,C00188,6051.0
110002,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,POSa,HMDB0003464,,500.0,463-00-3,C01035,486.0
1103055,iminodiacetate (IDA),Xenobiotics,Chemical,POSa,HMDB0011753,,8897.0,142-73-4,C19911,8557.0
1103077,thioproline,Xenobiotics,Chemical,POSa,HMDB0062164,,93176.0,34592-47-7,,
1103080,trizma acetate,Xenobiotics,Chemical,POSa,HMDB0240288,,6503.0,77-86-1,C07182,6257.0
1104023,lidocaine,Xenobiotics,"Drug - Analgesics, Anesthetics",POSa,HMDB0014426,,3676.0,137-58-6,C07073,3548.0
111001,1-carboxyethylhistidine,Amino Acid,Histidine Metabolism,POSa,,,,,,
111002,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,POSa,HMDB0002820,,75810.0,2625-49-2,C05828,68319.0
111003,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,POSa,HMDB0004988,,,,,
111005,1-methylhistidine,Amino Acid,Histidine Metabolism,POSa,HMDB0000001,,92105.0,332-80-9,C01152,83153.0
111006,1-ribosyl-imidazoleacetate*,Amino Acid,Histidine Metabolism,POSa,HMDB0002331,,440569.0,29605-99-0,C05131,389469.0
111007,3-methylhistidine,Amino Acid,Histidine Metabolism,POSa,HMDB0000479,,64969.0,368-16-1,C01152,58494.0
111008,4-imidazoleacetate,Amino Acid,Histidine Metabolism,POSa,HMDB0002024,,96215.0,645-65-8,C02835,86856.0
111010,carnosine,Amino Acid,Histidine Metabolism,POSa,HMDB0000033,,439224.0,305-84-0,C00386,388363.0
111012,formiminoglutamate,Amino Acid,Histidine Metabolism,POSa,HMDB0000854,,439233.0,816-90-0,C00439,388370.0
111018,imidazole lactate,Amino Acid,Histidine Metabolism,POSa,HMDB0002320,,459122.0,876-19-7,C05132,404046.0
111019,imidazole propionate,Amino Acid,Histidine Metabolism,POSa,HMDB0002271,,70630.0,1074-59-5,C20522,63798.0
111024,N-acetylhistidine,Amino Acid,Histidine Metabolism,POSa,HMDB0032055,,75619.0,2497-02-1,C02997,68142.0
111025,trans-urocanate,Amino Acid,Histidine Metabolism,POSa,HMDB0000301,,736715.0,3465-72-3,C00785,643824.0
1114007,pseudoephedrine,Xenobiotics,Drug - Respiratory,POSa,HMDB0001943,,7028.0,90-82-4,C02765,6761.0
1116003,(S)-a-amino-omega-caprolactam,Xenobiotics,Food Component/Plant,POSa,,,,,,
