Dataset,Sample,PC,PC_Score,PC_Flag,Rank,Metabolite,Raw_Value,Z_Value,Value_Direction,Loading,Loading_Direction,Contribution,Abs_Contribution
Placenta,sample-22,PC2,-30.217184162106967,low,9,108005,0.894301416540664,-3.786561933629364,low,0.06241487924286752,positive,-0.23633780583311567,0.23633780583311567
Placenta,sample-22,PC2,-30.217184162106967,low,10,203004,0.934302440164104,-4.197003057772632,low,0.055880685160988194,positive,-0.23453140649109716,0.23453140649109716
Placenta,sample-22,PC2,-30.217184162106967,low,11,117020,0.75519052113464,-4.050819435894836,low,0.05766084689081084,positive,-0.23357367927545292,0.23357367927545292
Placenta,sample-22,PC2,-30.217184162106967,low,12,119028,0.812743554640053,-4.093728562717978,low,0.05628106215027763,positive,-0.23039939166469722,0.23039939166469722
Placenta,sample-22,PC2,-30.217184162106967,low,13,703046,0.819222662382785,-3.7076927291716477,low,0.0616980500152521,positive,-0.2287574114456189,0.2287574114456189
Placenta,sample-22,PC2,-30.217184162106967,low,14,905010,0.799967320497727,-4.651122736832967,low,0.04872812035234458,positive,-0.2266404684939231,0.2266404684939231
Placenta,sample-22,PC2,-30.217184162106967,low,15,118010,0.872509529684614,-4.498950822232343,low,0.04919599059035672,positive,-0.22133034231701998,0.22133034231701998
Placenta,sample-22,PC2,-30.217184162106967,low,16,113012,0.915381103875152,-4.684763259671709,low,0.04711099928831646,positive,-0.22070387859232501,0.22070387859232501
Placenta,sample-22,PC2,-30.217184162106967,low,17,621002,0.90889924070509,-4.0825171192950895,low,0.05369469502211268,positive,-0.21920951164310384,0.21920951164310384
Placenta,sample-22,PC2,-30.217184162106967,low,18,114011,0.738885368429755,-3.1709668164483453,low,0.06796864766186375,positive,-0.21552632629463936,0.21552632629463936
Placenta,sample-22,PC2,-30.217184162106967,low,19,905006,0.918442925802323,-4.083529266031887,low,0.05269534304517031,positive,-0.21518297550854282,0.21518297550854282
Placenta,sample-22,PC2,-30.217184162106967,low,20,114009,0.8384122262006,-3.3772198545519907,low,0.0632924568647632,positive,-0.21375254196705373,0.21375254196705373
Placenta,sample-25,PC1,-33.99637350538498,low,1,117025,0.822775744203187,-5.14638666317062,low,0.047199234142338495,positive,-0.24290550910199823,0.24290550910199823
Placenta,sample-25,PC1,-33.99637350538498,low,2,643004,0.857818505625686,-4.102914655650689,low,0.05871977346703886,positive,-0.2409222191344022,0.2409222191344022
Placenta,sample-25,PC1,-33.99637350538498,low,3,101002,0.890183063558529,-4.2824134347018985,low,0.05570904951340633,positive,-0.23856918207068453,0.23856918207068453
Placenta,sample-25,PC1,-33.99637350538498,low,4,643005,0.868564430069822,-3.8839131867873675,low,0.059681942196634544,positive,-0.23179948231059033,0.23179948231059033
Placenta,sample-25,PC1,-33.99637350538498,low,5,657011,0.896600911031496,-3.7478283740206164,low,0.06160523382836913,positive,-0.23088584333013656,0.23088584333013656
Placenta,sample-25,PC1,-33.99637350538498,low,6,657010,0.90497128072499,-3.33097732736569,low,0.061643055956234545,positive,-0.2053316217797518,0.2053316217797518
Placenta,sample-25,PC1,-33.99637350538498,low,7,1101006,0.857848209401253,-3.7359830115881776,low,0.054946446007352635,positive,-0.2052789888306165,0.2052789888306165
Placenta,sample-25,PC1,-33.99637350538498,low,8,119005,0.934409811781929,-3.8332483530834964,low,0.05291249009206986,positive,-0.2028267155029736,0.2028267155029736
Placenta,sample-25,PC1,-33.99637350538498,low,9,701011,0.795699914865647,-4.163905148341609,low,0.04787484429714089,positive,-0.19934631064491787,0.19934631064491787
Placenta,sample-25,PC1,-33.99637350538498,low,10,621010,0.904316109447929,-3.603776228582297,low,0.05241996519833471,positive,-0.18890982448486993,0.18890982448486993
Placenta,sample-25,PC1,-33.99637350538498,low,11,703059,0.788584684144133,-3.6614437105594972,low,0.05116359302236261,positive,-0.18733261588135536,0.18733261588135536
Placenta,sample-25,PC1,-33.99637350538498,low,12,117020,0.75519052113464,-4.050819435894836,low,0.04620513642091495,positive,-0.18716866465201465,0.18716866465201465
Placenta,sample-25,PC1,-33.99637350538498,low,13,207013,0.882183807387484,-3.4280482030486743,low,0.05426916526450409,positive,-0.1860373144659348,0.1860373144659348
Placenta,sample-25,PC1,-33.99637350538498,low,14,657009,0.926350652107028,-3.012576470395018,low,0.0616888044323356,positive,-0.18584224071965413,0.18584224071965413
Placenta,sample-25,PC1,-33.99637350538498,low,15,651018,0.931558716121066,-2.9809780540088107,low,0.06232657896013855,positive,-0.1857941640616203,0.1857941640616203
Placenta,sample-25,PC1,-33.99637350538498,low,16,657002,0.939378580510305,-2.8467818750441714,low,0.06475387210435446,positive,-0.18434014944560465,0.18434014944560465
Placenta,sample-25,PC1,-33.99637350538498,low,17,703029,0.721385677582255,-3.3577558707480986,low,0.05477942686065609,positive,-0.18393594213758405,0.18393594213758405
Placenta,sample-25,PC1,-33.99637350538498,low,18,703043,0.87566580445389,-3.3360059651013967,low,0.05400031543920388,positive,-0.1801453744225412,0.1801453744225412
Placenta,sample-25,PC1,-33.99637350538498,low,19,309001,0.891022542426612,-2.7489146317447064,low,0.06501765112056246,positive,-0.17872797248698674,0.17872797248698674
