Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
sample-37,-5.355565776220475,-1.3810134607925226,-3.8559570144900936,9.00089709764028,0.7625549731644006,-2.3926364077403623,-0.5690904743952379,0.1834525576286056,-3.9711961257038872,4.420540324587845,Placenta
sample-38,-3.168823754461071,7.905406027578072,-3.6709260308778138,-4.158337970748914,3.571282663323761,-7.444658335539798,19.21687089808658,6.355483181396385,0.9419020939594878,-9.14364430071074,Placenta
sample-39,4.128775803218169,-1.150497015886495,-3.6991299900500523,8.458300516614532,4.0113054242569905,-1.379318045506855,5.326982045644686,0.4474287156786989,-2.099402024781383,1.2556482263293212,Placenta
sample-40,-1.9528779315362716,1.1745460157351955,2.8188472530748223,-2.589245079077561,-3.737269753646478,2.6069517145629395,-4.7047975406659015,-2.2943574438208922,1.8602655028182877,-4.988554438729316,Placenta
sample-1,-1.3881670826863415,0.21129863749110406,-3.972173311968052,1.5667917516075038,5.207616334774831,1.705311477055674,-2.628626772026795,7.037214896627876,4.146253825058422,2.8769284702855207,Cord
sample-2,-0.6744440313786166,4.06108804899184,-3.4061541640867015,0.43522630418765657,1.2711779428117838,5.285572690049402,-1.6119481112311365,2.4099366329982588,7.433909751214655,-5.3260512432156215,Cord
sample-3,-2.4747844432507207,1.3201322017393888,-3.915199763220685,1.8173218878438169,-3.0941323123080005,2.4589541066084597,1.8329241599615653,2.0909985479320534,3.984570314668664,5.853737921186429,Cord
sample-4,-3.145106915683418,0.7331445007979037,-5.977414740466447,1.4921886106772602,2.3252518567446434,-3.992645823331605,-0.3506682805962166,-6.571868943075305,6.179006703617971,-3.567596111548084,Cord
sample-5,-8.09239892097616,4.55142683120146,2.6306393200167015,-3.720451930852978,-4.932704453573399,-1.7136479049299989,0.14994693500559578,-1.8822340802416397,1.0657909390481373,1.136549697710627,Cord
sample-6,-7.501279782993047,5.835369010315282,5.534284293785227,-3.730908191296162,-0.03972331032897611,-0.7953254454487687,-3.69606817034906,-1.9796596049004553,0.7790615719270424,-0.6558219487703844,Cord
